Date/time;LCSS_t[c];LCSS_rh[%];REFERENCE_CO2[ppm];IRCA1(1)_co2[ppm];TDS0058(1)_co2[ppm]
04/02/2020_03:25:17;19.9;43.2;807;623.0;690.00
04/02/2020_03:30:17;19.8;43.3;821;639.2;690.00
04/02/2020_03:35:17;19.8;43.4;831;662.0;700.00
04/02/2020_03:40:17;19.8;43.4;833;671.1;700.00
04/02/2020_03:45:17;19.7;43.6;839;651.7;710.00
04/02/2020_03:50:17;19.7;43.9;836;633.5;710.00
04/02/2020_03:55:17;19.8;44.0;842;667.5;720.00
04/02/2020_04:00:17;19.7;43.9;850;680.5;720.00
04/02/2020_04:05:17;19.7;44.2;850;654.0;730.00
04/02/2020_04:10:17;19.7;44.2;853;662.6;730.00
04/02/2020_04:15:17;19.6;44.4;859;663.3;730.00
04/02/2020_04:20:17;19.7;44.3;862;691.5;730.00
04/02/2020_04:25:17;19.6;44.5;870;668.1;730.00
04/02/2020_04:30:17;19.8;44.2;871;683.9;740.00
04/02/2020_04:35:17;19.7;44.5;864;712.9;740.00
04/02/2020_04:40:17;19.6;44.8;881;686.4;740.00
04/02/2020_04:45:17;19.7;44.6;879;680.7;740.00
04/02/2020_04:50:17;19.7;44.6;885;717.7;750.00
04/02/2020_04:55:17;19.6;44.9;904;717.8;760.00
04/02/2020_05:00:17;19.6;44.8;902;722.0;770.00
04/02/2020_05:05:17;19.7;45.1;905;701.2;780.00
04/02/2020_05:10:17;19.5;45.3;913;715.2;780.00
04/02/2020_05:15:17;19.5;45.2;921;732.2;800.00
04/02/2020_05:20:17;19.7;45.1;916;753.3;790.00
04/02/2020_05:25:17;19.5;45.4;930;744.2;810.00
04/02/2020_05:30:17;19.6;45.4;938;765.2;820.00
04/02/2020_05:35:17;19.6;45.3;953;792.6;820.00
04/02/2020_05:40:17;19.6;45.4;962;778.9;830.00
04/02/2020_05:45:17;19.6;45.7;958;755.6;840.00
04/02/2020_05:50:17;19.6;45.4;969;784.9;840.00
04/02/2020_05:55:17;19.5;45.7;981;803.6;850.00
